City,Tags,State,Old_age,Young_age,link 1,Avg Expense Per Day,historical & heritage,city,pilgrimage,hill station,beach,lake & backwater,adventure / trekking,wildlife,waterfall,nature & scenic,Image Link
Delhi City,Historical & Heritage |  City,Delhi,1,1,https://www.holidify.com/places/delhi/,2832,1,1,0,0,0,0,0,0,0,0,https://cdn.britannica.com/37/189837-050-F0AF383E/New-Delhi-India-War-Memorial-arch-Sir.jpg
Agra,City |  Historical & Heritage,Uttar Pradesh,1,1,https://www.holidify.com/places/agra/,1994,1,1,0,0,0,0,0,0,0,0,https://www.oyorooms.com/travel-guide/wp-content/uploads/2019/09/Best-time-to-visit-Agra-3.jpg
Panjim,City,Goa,0,1,https://www.holidify.com/places/goa/,5351,0,1,0,0,0,0,0,0,0,0,https://d27k8xmh3cuzik.cloudfront.net/wp-content/uploads/2019/04/Homestays-in-Panjim-OG.jpg
Varanasi,Pilgrimage,Uttar Pradesh,1,0,https://www.holidify.com/places/varanasi/,1943,0,0,1,0,0,0,0,0,0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/be/17/41/caption.jpg?w=1000&h=600&s=1
Shimla,Hill Station,Himachal Pradesh,0,1,https://www.holidify.com/places/shimla/,4317,0,0,0,1,0,0,0,0,0,0,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/SHIMLA.jpeg?p8rkDgUaxdIezLOdixVSYZfIdYEkHBUU
Haridwar,Pilgrimage,Uttarakhand,1,0,https://www.holidify.com/places/haridwar/,2220,0,0,1,0,0,0,0,0,0,0,https://www.tripsavvy.com/thmb/UnFTsNbJOS_r8BOZGnmwjwRwLn4=/2124x1411/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-458731819-e2afa10fe59d4fd5b3e4b6825760b744.jpg
Ooty,Hill Station,Tamil Nadu,0,1,https://www.holidify.com/places/ooty/,3046,0,0,0,1,0,0,0,0,0,0,http://travelandynews.com/wp-content/uploads/2019/07/train-ooty.jpg
Jaipur,Historical & Heritage |  City,Rajasthan,1,0,https://www.holidify.com/places/jaipur/,1884,1,1,0,0,0,0,0,0,0,0,https://cdn1.goibibo.com/voy_ing/t_fs/rajasthan-jaipur-148046447735o.jpeg
Tirupati,Pilgrimage |  City,Andhra Pradesh,1,0,https://www.holidify.com/places/tirupati/,2160,0,1,1,0,0,0,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Tirumala_090615.jpg/1200px-Tirumala_090615.jpg
Andaman Islands,Beach,Andaman and Nicobar Islands,0,1,https://www.holidify.com/places/andaman-nicobar-islands/,2844,0,0,0,0,1,0,0,0,0,0,https://img.traveltriangle.com/blog/wp-content/uploads/2020/09/Andaman_Islands_india.jpg
Munnar,Hill Station,Kerala,0,1,https://www.holidify.com/places/munnar/,3089,0,0,0,1,0,0,0,0,0,0,https://www.holidify.com/images/bgImages/MUNNAR.jpg
Shirdi,Pilgrimage,Maharashtra,1,0,https://www.holidify.com/places/shirdi/,1510,0,0,1,0,0,0,0,0,0,0,https://www.sai.org.in/sites/default/files/home-slider-1.jpg
Manali,Hill Station,Himachal Pradesh,0,1,https://www.holidify.com/places/manali/,1496,0,0,0,1,0,0,0,0,0,0,https://static.toiimg.com/photo/77760011.cms
Alleppey,Beach |  Lake & Backwater,Kerala,0,1,https://www.holidify.com/places/alleppey/,2818,0,0,0,0,1,1,0,0,0,0,https://seoimgak.mmtcdn.com/blog/sites/default/files/explore-alleppey-.jpg
Somnath,Pilgrimage,Gujarat,1,0,https://www.holidify.com/places/somnath/,2873,0,0,1,0,0,0,0,0,0,0,https://blog.railyatri.in/wp-content/uploads/2018/04/Somnath-Temple-architecture.png
Ajanta Caves,Historical & Heritage,Maharashtra,1,0,https://www.holidify.com/places/ajanta-and-ellora-caves/,956,1,0,0,0,0,0,0,0,0,0,https://cdn.britannica.com/70/153470-050-F4594C27/Ajanta-Caves-Maharashtra-India.jpg
Nainital,Hill Station,Uttarakhand,0,1,https://www.holidify.com/places/nainital/,3763,0,0,0,1,0,0,0,0,0,0,https://www.clubmahindra.com/blog/media/section_images/shuttersto-b9d5e12a4e1142e.jpg
Amritsar,Historical & Heritage |  Pilgrimage,Punjab,1,0,https://www.holidify.com/places/amritsar/,1958,1,0,1,0,0,0,0,0,0,0,https://blog.railyatri.in/wp-content/uploads/2018/11/48-Hours-in-Amritsar.png
Darjeeling,Hill Station,West Bengal,0,1,https://www.holidify.com/places/darjeeling/,2296,0,0,0,1,0,0,0,0,0,0,"https://imgk.timesnownews.com/media/Darjeeling_1.jpg?tr=w-600,h-450"
Rameshwaram,Pilgrimage,Tamil Nadu,1,0,https://www.holidify.com/places/rameswaram/,2099,0,0,1,0,0,0,0,0,0,0,https://images.herzindagi.info/image/2019/Sep/rameshwaram-bridge-underwater-main.jpg
Pondicherry,Beach |  City,Pondicherry,0,1,https://www.holidify.com/places/pondicherry/,2770,0,1,0,0,1,0,0,0,0,0,"https://img.etimg.com/thumb/msid-59251312,width-650,imgsize-122866,,resizemode-4,quality-100/.jpg"
